sector,symbol,date_calendar,date_event,eps,estimatedEPS,eps_surprise,PRE_CAR,AR_0,AR_1,DRIFT_2_5,DRIFT_1_5,sentiment_0_10
Tech,GOOGL,4/24/2025,4/25/2025,2.81,2.02,0.79,-0.002392481,0.009285138,-0.008971822,-0.008511287,-0.017483108,6.4889608
Tech,GOOGL,7/23/2025,7/24/2025,2.31,2.15,0.16,0.028982123,0.010897572,0.002174192,0.005536112,0.007710304,5.633407165
Tech,GOOGL,10/29/2025,10/30/2025,2.87,2.3,0.57,0.047305411,0.034217294,-0.006649363,0.021873573,0.015224211,8.046692917
Financials,JPM,1/15/2021,1/15/2021,3.79,2.62,1.17,0.033394192,-0.013272216,-0.012016638,-0.061089545,-0.073106184,8.399356045
Financials,JPM,4/14/2021,4/14/2021,4.59,3.1,1.49,-0.017838117,-0.018148749,-0.006129598,-0.021368881,-0.02749848,9.272994446
Financials,JPM,7/13/2021,7/13/2021,3.78,3.21,0.57,0.003427701,-0.013372805,-0.005357466,-0.029883422,-0.035240888,9.674850516
Financials,JPM,10/13/2021,10/13/2021,3.74,3,0.74,-0.021227442,-0.03052467,-0.00388647,0.018889195,0.015002725,4.847508818
Financials,JPM,1/14/2022,1/14/2022,3.33,3.01,0.32,0.025709185,-0.061262719,-0.02520389,-0.006477916,-0.031681806,0.283621801
Financials,JPM,4/13/2022,4/13/2022,2.76,2.69,0.07,0.021342192,-0.040585025,0.003678071,0.041665138,0.045343209,9.56389349
Financials,JPM,7/14/2022,7/14/2022,2.76,2.88,-0.12,0.01728044,-0.031477025,0.030961467,-0.003349784,0.027611683,8.602591529
Financials,JPM,10/14/2022,10/14/2022,3.36,2.88,0.48,0.030634358,0.036411613,0.020088303,0.038406739,0.058495041,9.458870776
Financials,JPM,1/13/2023,1/13/2023,3.56,3.07,0.49,-0.018527024,0.020205303,-0.015315917,-0.037625718,-0.052941635,0.445089024
Financials,JPM,4/14/2023,4/14/2023,4.32,3.41,0.91,-0.006067913,0.076618603,0.003963747,0.004879897,0.008843644,8.142107315
Financials,JPM,7/14/2023,7/14/2023,4.98,4,0.98,0.021782922,0.007430146,0.021614836,0.01062346,0.032238296,6.670792401
Financials,JPM,10/13/2023,10/13/2023,4.5,3.96,0.54,-0.002868293,0.018350325,-0.010994048,-0.007707427,-0.018701475,9.377182126
Financials,JPM,1/12/2024,1/12/2024,3.04,3.32,-0.28,-0.02515116,-0.008700415,-0.004358093,-0.004093033,-0.008451126,9.382525608
Financials,JPM,4/12/2024,4/12/2024,4.44,4.11,0.33,-0.015506498,-0.05842239,0.006061153,0.019879584,0.025940737,6.165232239
Financials,JPM,7/12/2024,7/12/2024,4.4,5.88,-1.48,-0.01349858,-0.016148935,0.022865423,0.009820075,0.032685498,9.656669796
Financials,JPM,10/11/2024,10/11/2024,4.37,4.01,0.36,0.02687676,0.040349196,-0.009160509,0.016944497,0.007783988,1.68511942
Financials,JPM,1/15/2025,1/15/2025,4.81,3.89,0.92,0.04477043,0.001419181,0.008645462,0.012920951,0.021566412,5.083280457
Financials,JPM,4/11/2025,4/11/2025,5.07,4.63,0.44,0.008848707,0.018238112,-0.018856974,0.022565924,0.003708949,3.049799949
Financials,JPM,7/15/2025,7/15/2025,4.96,4.48,0.48,-0.02263395,-0.004542409,-0.006868159,0.007910231,0.001042072,8.68555123
Financials,JPM,10/14/2025,10/14/2025,5.07,4.85,0.22,-1.62E-05,-0.019469659,0.006922829,-0.041044253,-0.034121424,9.047904685
Financials,BAC,1/19/2021,1/19/2021,0.59,0.55,0.04,0.025286971,-0.015288791,-0.026680077,-0.046753006,-0.073433084,6.250388632
Financials,BAC,4/15/2021,4/15/2021,0.86,0.66,0.2,-0.029590404,-0.041949934,0.004506318,-0.019226377,-0.014720059,5.285883453
Financials,BAC,7/14/2021,7/14/2021,0.8,0.77,0.03,-0.018178619,-0.028087932,-3.01E-05,-0.015842312,-0.01587243,6.038712063
Financials,BAC,10/14/2021,10/14/2021,0.85,0.71,0.14,-0.026875733,0.02617341,0.020321736,-0.009648196,0.01067354,5.391304549
Financials,BAC,1/19/2022,1/19/2022,0.82,0.76,0.06,-0.038570684,0.014136095,-0.003889839,0.032624099,0.028734261,6.751777632
Financials,BAC,4/18/2022,4/18/2022,0.8,0.75,0.05,-0.018025091,0.034405029,0.002884392,-0.017572815,-0.014688423,8.728382704
Financials,BAC,7/18/2022,7/18/2022,0.78,0.75,0.03,0.034725259,0.009648832,0.011406567,0.01144858,0.022855147,5.772445993
Financials,BAC,10/17/2022,10/17/2022,0.81,0.77,0.04,0.047610382,0.037215473,0.027047637,-0.011177006,0.01587063,8.225887576
Financials,BAC,1/13/2023,1/13/2023,0.85,0.77,0.08,-0.037278891,0.017524004,-0.018904984,-0.015217086,-0.03412207,9.704743573
Financials,BAC,4/18/2023,4/18/2023,0.94,0.82,0.12,0.081659489,0.007109449,-0.014685395,-0.01535409,-0.030039485,6.18590951
Financials,BAC,7/18/2023,7/18/2023,0.88,0.84,0.04,0.009719884,0.038151005,0.027124605,0.030067521,0.057192125,9.187272014
Financials,BAC,10/17/2023,10/17/2023,0.9,0.82,0.08,0.020655139,0.024313256,0.004731348,-0.048056302,-0.043324955,5.224567587
Financials,BAC,1/12/2024,1/12/2024,0.7,0.69,0.01,-0.046599401,-0.012080272,-0.016761545,-0.011626902,-0.028388447,5.870535728
Financials,BAC,4/16/2024,4/16/2024,0.83,0.76,0.07,-0.020702365,-0.034930047,0.020439759,0.070014562,0.090454321,5.223668953
Financials,BAC,7/16/2024,7/16/2024,0.83,0.8,0.03,0.02119842,0.048930587,0.006045528,-0.033624772,-0.027579244,6.045971336
Financials,BAC,10/15/2024,10/15/2024,0.81,0.77,0.04,0.027757435,0.01148727,0.012507515,-0.012359157,0.000148358,5.493737552
Financials,BAC,1/16/2025,1/16/2025,0.82,0.78,0.04,0.015303719,-0.008173658,-0.011636904,-0.016299002,-0.027935906,5.28752177
Financials,BAC,4/15/2025,4/15/2025,0.9,0.817,0.083,-0.046337634,0.038287105,0.005145118,0.015756526,0.020901644,7.185044158
Financials,BAC,7/16/2025,7/16/2025,0.89,0.86,0.03,-0.02502038,-0.00602348,0.015409969,0.013350025,0.028759993,9.005924123
Financials,BAC,10/15/2025,10/15/2025,1.06,0.952,0.108,-0.002887075,0.03894623,-0.031421325,-0.000531013,-0.031952338,9.594974336
Financials,UBS,1/26/2021,1/27/2021,0.46,0.28,0.18,-0.012920137,-0.002919667,0.028936586,-0.024222385,0.004714201,3.007228971
Financials,UBS,4/27/2021,4/28/2021,0.49,0.47,0.02,-0.039827525,0.020908073,-0.004412429,-0.008692856,-0.013105284,8.911804799
Financials,UBS,7/20/2021,7/21/2021,0.55,0.44,0.11,0.028897014,0.029079618,-0.0077368,0.028409719,0.020672919,9.577730759
Financials,UBS,10/26/2021,10/27/2021,0.63,0.43,0.2,0.022630811,0.009574804,-0.004464181,0.004040627,-0.000423554,5.699715372
Financials,UBS,2/1/2022,2/2/2022,0.38,0.25,0.13,0.054465281,-0.003054025,0.010614307,0.019426732,0.030041039,9.360445756
Financials,UBS,4/26/2022,4/27/2022,0.61,0.5,0.11,-0.004680012,0.021585869,-0.021939224,0.027580865,0.00564164,0.746332817
Financials,UBS,7/26/2022,7/27/2022,0.61,0.48,0.13,-0.085907559,0.00486393,0.020693296,-0.002247666,0.018445629,8.812433351
Financials,UBS,10/25/2022,10/26/2022,0.52,0.46,0.06,0.059943426,-0.008283083,-0.008267848,-0.000642477,-0.008910325,9.039565534
Financials,UBS,1/31/2023,2/1/2023,0.5,0.38,0.12,-0.020079049,-0.002840969,-0.018592824,0.001009804,-0.01758302,9.616096076
Financials,UBS,4/25/2023,4/26/2023,0.32,0.55,-0.23,-0.056930467,0.020921387,-0.00794132,-0.045111349,-0.053052669,9.394429899
Financials,UBS,8/1/2023,8/2/2023,0.61,,,0.010756558,0.002592911,0.017575378,0.030261347,0.047836725,9.621456601
Financials,UBS,11/7/2023,11/8/2023,-0.24,0.23,-0.47,0.001455979,-0.007937631,-0.003093302,-0.00976388,-0.012857182,9.626432261
Financials,UBS,2/6/2024,2/7/2024,-0.09,0.2,-0.29,-0.085839378,-0.024321586,-0.001294729,-0.019321412,-0.020616141,9.693378126
Financials,UBS,5/7/2024,5/8/2024,0.52,0.24,0.28,0.072507168,-0.024358527,-0.000183655,0.040991622,0.040807967,9.668391389
Financials,UBS,8/14/2024,8/15/2024,0.34,0.3,0.04,0.054876678,-0.038095288,0.00568601,0.008173035,0.013859045,9.700495265
Financials,UBS,10/30/2024,10/31/2024,0.43,0.35,0.08,-0.022856262,-0.004229837,0.009826168,0.022749323,0.032575491,9.710678039
Financials,UBS,2/4/2025,2/5/2025,0.23,0.31,-0.08,-0.092411407,0.001444721,0.019792194,-0.007851624,0.01194057,9.688351983
Financials,UBS,4/30/2025,5/1/2025,0.51,0.42,0.09,0.00570354,-0.009697963,0.004677808,0.015424891,0.0201027,9.69822031
Financials,UBS,7/30/2025,7/31/2025,0.72,0.7,0.02,-0.006515586,-0.012409006,-0.002085491,0.043438947,0.041353456,9.284104817
Financials,UBS,10/29/2025,10/30/2025,0.76,0.4875,0.2725,-0.028220055,0.004902253,0.004547893,0.008376679,0.012924571,9.673886793
HealthCare,JNJ,1/26/2021,1/26/2021,1.86,1.81,0.05,0.02285885,0.02819289,-0.001049399,-0.049931429,-0.050980827,5.004466288
HealthCare,JNJ,4/20/2021,4/20/2021,2.59,2.34,0.25,0.001959187,0.027474806,-0.004631261,-0.022422536,-0.027053797,4.981575217
HealthCare,JNJ,7/21/2021,7/21/2021,2.48,2.27,0.21,-0.00043811,0.002569304,0.001924005,0.009326599,0.011250604,5.002082288
HealthCare,JNJ,10/19/2021,10/19/2021,2.6,2.37,0.23,-0.011823571,0.020319708,-0.00204881,0.009345528,0.007296718,4.941455713
HealthCare,JNJ,1/25/2022,1/25/2022,2.13,2.12,0.01,-0.013693827,0.032106115,0.005113936,0.001249165,0.006363101,5.545512065
HealthCare,JNJ,4/19/2022,4/19/2022,2.67,2.6,0.07,-0.024149281,0.026071072,0.003733853,0.01578999,0.019523843,5.786364367
HealthCare,JNJ,7/19/2022,7/19/2022,2.59,2.57,0.02,-0.025224477,-0.023805317,-0.008508481,0.017048009,0.008539528,5.06342994
HealthCare,JNJ,10/18/2022,10/18/2022,2.55,2.49,0.06,0.033212653,-0.006999779,-0.005352088,0.023091577,0.017739489,4.982392471
HealthCare,JNJ,1/24/2023,1/24/2023,2.35,2.22,0.13,-0.032840183,6.94E-05,0.006759276,-0.041550341,-0.034791065,
HealthCare,JNJ,4/18/2023,4/18/2023,2.68,2.51,0.17,0.00741482,-0.027728134,0.010159669,0.026466289,0.036625958,5.001271497
HealthCare,JNJ,7/20/2023,7/20/2023,2.8,2.61,0.19,0.001445149,0.064174802,0.011720929,0.024033692,0.03575462,5.074829971
HealthCare,JNJ,10/17/2023,10/17/2023,2.66,2.52,0.14,-0.004823561,-0.008681022,-0.019816168,-0.006539844,-0.026356012,5.095319729
HealthCare,JNJ,1/23/2024,1/23/2024,2.29,2.27,0.02,-0.003395906,-0.017185884,-0.005676589,-0.004348142,-0.010024731,5.047628367
HealthCare,JNJ,4/16/2024,4/16/2024,2.71,2.64,0.07,-0.012688107,-0.019953855,0.005141489,0.031113651,0.03625514,5.057805181
HealthCare,JNJ,7/17/2024,7/17/2024,2.82,2.71,0.11,0.029198525,0.039789279,-0.005392305,0.012573685,0.007181381,5.109806508
HealthCare,JNJ,10/15/2024,10/15/2024,2.42,2.21,0.21,0.01439826,0.013352517,0.001138797,-0.007570238,-0.006431441,5.066041807
